	GSM8268694	GSM8268695	GSM8268696	GSM8268707	GSM8268708	GSM8268709
112268437	984	1209	1197	485	37	1334
307	842	1046	847	635	49	1505
64395	1212	1774	1480	1081	101	2866
11017	2259	3187	2503	1284	116	3024
4084	730	842	754	414	32	1040
400960	106	139	97	95	5	252
5093	9580	11527	10479	4979	499	14195
100133985	11	11	14	9	2	26
54980	491	586	510	333	21	772
7072	4699	6158	4912	4474	444	11184
51449	4455	5634	4661	3675	375	9322
6637	2952	3425	3200	1511	173	4338
84908	3071	3837	3304	1447	143	3909
7039	23	34	40	24	1	77
119	1085	1265	1094	544	41	1490
25806	27	63	39	12	0	40
101927750	27	24	20	13	1	32
79998	760	959	987	414	33	933
113419	5156	6225	5437	2726	216	6524
55577	2183	2339	2220	1109	129	3707
84693	94	135	109	84	7	221
10199	2382	3161	2618	939	110	2556
400961	126	164	161	181	15	446
27332	6129	7781	6980	4103	383	11331
8291	1021	1152	1053	922	67	2454
56603	46	61	44	63	5	131
23233	2323	3047	2527	1467	169	3977
6697	376	415	417	281	28	671
94097	1008	1095	968	1004	76	2718
107985897	35	74	68	42	5	127
105374800	12	35	27	13	0	49
26056	3273	3625	3405	1297	123	3330
10322	1412	1668	1608	607	43	1646
84279	682	805	742	368	36	1037
10574	15318	19069	17523	7057	602	20000
150726	306	332	299	214	17	581
7840	3686	4845	4400	1850	162	5041
100874291	74	126	83	23	0	59
51002	1500	1951	1646	684	77	1989
8446	971	1189	967	541	61	1363
105374807	21	30	38	18	0	46
10617	2154	2670	2307	1316	109	3395
112268419	164	229	178	98	8	300
72	461	576	513	64	7	182
1716	1089	1303	1193	573	59	1622
100874048	277	333	286	129	13	366
200424	2326	2989	2550	1226	84	3341
107985898	39	41	33	16	1	43
388962	519	605	553	217	27	589
100507171	243	343	286	163	12	407
55233	12433	16919	13014	7387	639	18201
10797	7218	9420	7715	2907	271	7325
57835	255	365	304	139	15	342
1639	10655	12255	11572	6419	602	17968
100189589	15	20	18	14	0	23
388963	15	18	17	46	3	98
84058	861	976	934	733	88	2119
6242	273	291	315	267	19	761
100532735	491	501	460	435	40	1178
83444	203	227	181	167	14	461
23559	327	333	322	339	33	950
7841	1622	1723	1696	1302	94	3743
116540	732	777	867	469	39	1337
84865	659	778	709	452	35	1279
64427	1484	1983	1729	1077	98	2738
85474	25	27	24	31	2	78
151534	111	122	107	78	3	185
84759	362	380	383	207	17	497
3196	96	114	89	133	12	410
165545	44	57	59	45	4	193
550	3424	3989	3702	1698	161	4284
27429	1562	1869	1675	827	72	2320
84695	4623	5320	4968	1485	118	3968
1796	1573	1653	1650	567	58	1691
130951	14	30	19	8	2	20
10505	916	1064	929	652	70	1558
105374808	20	33	31	24	2	81
102724497	3	4	11	11	2	27
3099	4561	5784	4904	1101	85	3084
105374809	187	254	192	117	10	347
101927861	24	32	36	7	0	13
56655	698	857	775	386	40	1135
105374811	57	72	45	16	0	39
107985900	12	15	13	6	0	9
84141	2105	2570	2329	708	74	2221
101927884	17	29	30	7	0	23
9801	3434	4552	3554	1473	127	3483
6936	2159	2934	2339	1066	85	2488
8802	1840	2199	2192	868	93	2564
1768	24	43	37	46	7	105
129293	244	260	264	91	5	227
105374836	192	225	204	74	21	179
9168	29178	30448	28801	15957	1580	44531
105374838	61	113	103	36	4	106
56888	4340	5493	4868	1589	152	4145
83439	724	817	799	383	28	1016
105374839	19	17	42	5	1	25
100996506	23	32	24	13	0	53
10618	17698	22192	18804	10806	896	26551
54884	911	1157	1042	797	72	2149
84173	693	769	729	542	48	1486
822	2190	2267	2208	1492	130	4353
105374841	77	71	86	74	4	196
284948	11	17	14	29	1	85
100630918	50	41	30	15	0	65
4144	17025	21582	17637	10363	935	25490
2677	4314	5413	4676	3053	277	8057
8673	15	10	17	21	1	70
10791	266	275	272	378	45	1139
51255	1847	2159	2068	1106	103	3061
129303	202	222	198	181	15	390
10713	3591	4305	3637	1947	158	4731
388969	1102	1384	1233	970	97	2717
84913	1391	1577	1466	669	64	1821
284950	17	16	14	3	1	16
8869	511	621	565	407	37	1216
25885	7140	8413	7732	3261	266	9255
55037	4322	5606	4749	2347	210	6003
692225	28	31	37	11	0	49
10989	6133	7349	6476	3428	317	9358
51318	2391	3055	2664	1087	119	2624
65055	126	157	181	168	18	382
55818	3070	3931	3249	1624	132	4303
100526767	1988	2417	2236	1203	102	3220
51652	1936	2334	2178	1158	99	3105
105374845	33	48	41	27	2	55
7844	953	1245	1012	769	51	1767
64795	2489	3229	2750	1879	192	5002
100286979	34	37	28	18	1	40
400966	329	409	397	182	23	622
5343	46	62	52	47	6	159
285074	408	456	432	246	20	604
102724642	269	247	256	123	10	295
101928173	34	45	36	25	0	73
112597	1086	1269	1197	529	54	1542
101928152	128	172	193	36	6	177
107985909	69	106	107	17	3	76
101928214	138	168	243	47	5	231
730268	451	561	533	285	20	695
5342	65	78	81	77	10	214
729857	340	441	416	199	22	637
51315	633	884	705	678	57	1721
55258	32	43	25	20	4	65
101928371	124	147	133	93	9	248
9451	830	1057	858	572	70	1552
101928403	9	13	15	21	4	35
102724805	24	14	17	24	0	44
